serial_number,date,tyre_code,description,qty
032025-05110,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05111,3/19/2025,178044,355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP,0
032025-05112,3/19/2025,738073,28 x 12 x 22 ATIRE RUNNER BAND NM SM,0
032025-05113,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05114,3/19/2025,716072,18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05115,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05116,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05117,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05118,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05119,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05120,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05121,3/19/2025,133042,250 -15 (7.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05122,3/19/2025,126041,23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05123,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05124,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05125,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05126,3/19/2025,112162,21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) BLACK CLIP,0
032025-05127,3/19/2025,118012,200/50 - 10 (6.50) ACHIEVER PLUS BLACK CLIP,0
032025-05128,3/19/2025,118012,200/50 - 10 (6.50) ACHIEVER PLUS BLACK CLIP,0
