"id","prev_serial","serial_number","date","tyre_code","description","qty"
"1087","32505137","032025-05137","2025-03-19","104043","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1088","32505138","032025-05138","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1089","32505139","032025-05139","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1090","32505140","032025-05140","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1091","32505141","032025-05141","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1092","32505142","032025-05142","2025-03-19","125041","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD","0"
"1093","32505143","032025-05143","2025-03-19","111041","6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD","0"
"1094","32505144","032025-05144","2025-03-19","111041","6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD","0"
"1095","32505145","032025-05145","2025-03-19","119042","6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1096","32505146","032025-05146","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1097","32505147","032025-05147","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1098","32505148","032025-05148","2025-03-19","135041","28 x 9 -15 (7.00) ATIRE RUNNER SOLID BLACK STD","0"
"1099","32505149","032025-05149","2025-03-19","101042","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1100","32505150","032025-05150","2025-03-19","101041","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD","0"
"1101","32505151","032025-05151","2025-03-19","101041","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD","0"
"1102","32505152","032025-05152","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1103","32505153","032025-05153","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1104","32505154","032025-05154","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1105","32505155","032025-05155","2025-03-19","715072","18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1106","32505156","032025-05156","2025-03-19","716072","18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1107","32505157","032025-05157","2025-03-19","720072","21 x 8 x 15 ATIRE RUNNER BAND BLACK TR","0"
"1108","32505158","032025-05158","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1109","32505159","032025-05159","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1110","32505160","032025-05160","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1111","32505161","032025-05161","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1112","32505162","032025-05162","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1113","32505163","032025-05163","2025-03-19","738073","28 x 12 x 22 ATIRE RUNNER BAND NM SM","0"
"1114","32505164","032025-05164","2025-03-19","178044","355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP","0"
"1115","32505165","032025-05165","2025-03-19","126041","23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD","0"
"1116","32505166","032025-05166","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1117","32505167","032025-05167","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1118","32505168","032025-05168","2025-03-19","101042","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1119","32505169","032025-05169","2025-03-19","170051","14.00 - 24 (10.00) ATIRE ROCK SOLID BLACK STD","0"
"1120","32505170","032025-05170","2025-03-19","112164","21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) NM CLIP","0"
"1121","32505171","032025-05171","2025-03-19","118014","200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP","0"
"1122","32505172","032025-05172","2025-03-19","118014","200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP","0"
"1123","32505173","032025-05173","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1124","32505174","032025-05174","2025-03-19","103041","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1125","32505175","032025-05175","2025-03-19","104041","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1126","32505176","032025-05176","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1127","32505177","032025-05177","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1128","32505178","032025-05178","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1129","32505179","032025-05179","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1130","32505180","032025-05180","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1131","32505181","032025-05181","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1132","32505182","032025-05182","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
